,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
0,1,Bitcoin,BTC,bitcoin,10386,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19455381.0,19455381.0,False,,1,,,,2023-08-12T19:46:00.000Z,29402.945195931792,6320441162.329885,-38.6675,-0.06148042,0.11730903,1.24784052,-7.27942061,13.57002285,9.2952118,572045501308.9727,48.7409,617461849114.57,,2023-08-12T19:46:00.000Z,,,,,,2023-08-12 19:48:15.107842
1,1027,Ethereum,ETH,ethereum,7228,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120147264.7768211,120147264.7768211,True,,2,,,,2023-08-12T19:46:00.000Z,1846.8209459240309,2375014328.228542,-28.3936,-0.079443,0.2316289,0.67159345,-7.61658321,6.11806101,2.72762038,221890485185.31375,18.9058,221890485185.31,,2023-08-12T19:46:00.000Z,,,,,,2023-08-12 19:48:15.107842
2,825,Tether USDt,USDT,tether,59314,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83410866925.61348,86684257831.22595,True,,3,,,,2023-08-12T19:46:00.000Z,0.999509380051192,13517320955.483942,-18.0664,0.00909956,0.05965988,0.05151103,-0.12919062,-0.0288828,-0.0991746,83369943890.3524,7.1035,86641728805.09,,2023-08-12T19:46:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-08-12 19:48:15.107842
3,1839,BNB,BNB,bnb,1565,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153853055.1455394,153853055.1455394,False,,4,,,,2023-08-12T19:46:00.000Z,240.58370438500563,288193761.6912797,-24.2083,-0.07499575,0.5837731,-0.78819249,-5.37750542,0.9045289,-22.74077173,37014537937.86442,3.1538,37014537937.86,,2023-08-12T19:46:00.000Z,,,,,,2023-08-12 19:48:15.107842
4,52,XRP,XRP,xrp,1026,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,52787284454.0,99988519823.0,False,,5,,,,2023-08-12T19:46:00.000Z,0.6277742749275155,511051827.4346149,-43.3007,-0.29528864,-0.28076319,-0.07571868,-24.43199557,21.38115501,47.63329615,33138499223.50236,2.8235,62777427492.75,,2023-08-12T19:46:00.000Z,,,,,,2023-08-12 19:48:15.107842
5,3408,USD Coin,USDC,usd-coin,13584,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,26139012960.465454,26139012960.465454,False,,6,,,,2023-08-12T19:46:00.000Z,1.0000711376111855,1722519993.6255517,-30.2696,0.00624406,-0.00332198,-0.00931694,-0.02324447,0.01304727,0.0011393,26140872427.406208,2.2273,26140872427.41,,2023-08-12T19:46:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-08-12 19:48:15.107842
6,74,Dogecoin,DOGE,dogecoin,765,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,140562706383.70523,140562706383.70523,True,,7,,,,2023-08-12T19:46:00.000Z,0.07682824820655733,289889948.5805882,29.8012,0.02751665,2.03810503,0.92976874,9.66238411,25.02730805,7.28158593,10799186494.632746,0.9201,10799186494.63,,2023-08-12T19:46:00.000Z,,,,,,2023-08-12 19:48:15.107842
7,2010,Cardano,ADA,cardano,889,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35034753817.478,36061170836.355,False,,8,,,,2023-08-12T19:46:00.000Z,0.29201955109353345,114623419.28767632,-17.2756,-0.12849408,-0.48759672,-0.26869776,-15.7038415,6.41879773,-20.70880115,10230833082.452381,0.8717,13140879799.21,,2023-08-12T19:46:00.000Z,,,,,,2023-08-12 19:48:15.107842
8,5426,Solana,SOL,solana,497,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,405970092.05132556,554756238.1407213,True,,9,,,,2023-08-12T19:46:00.000Z,24.726269316939707,241981562.52666926,-23.3724,-0.03746347,1.28570538,9.40667404,-5.23868962,65.26520634,18.1478046,10038125830.68388,0.8553,13717052149.52,,2023-08-12T19:46:00.000Z,,,,,,2023-08-12 19:48:15.107842
9,1958,TRON,TRX,tron,808,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token', 'alleged-sec-securities']",,89489842216.51918,89489880936.1277,True,,10,71659659264.0,5541416423.901134,,2023-08-12T19:46:00.000Z,0.0773296507521213,129081876.74017303,-12.4655,-0.00547865,0.41542821,0.17012083,-5.37704733,7.85663036,12.015246,6920218244.465869,0.5896,6920221238.64,,2023-08-12T19:46:00.000Z,,,,,,2023-08-12 19:48:15.107842
